compute004
5
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Box(1, 60, 50)
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Box(1, 60, 50)
Worker ID: 0 | Episode :0 | Average episode reward : 440.000 | Average episode length: 855.0
Worker ID: 0 | Episode :1 | Average episode reward : 240.000 | Average episode length: 989.0
Worker ID: 0 | Episode :2 | Average episode reward : 130.000 | Average episode length: 528.0
Worker ID: 0 | Episode :3 | Average episode reward : 250.000 | Average episode length: 577.0
Worker ID: 0 | Episode :4 | Average episode reward : 290.000 | Average episode length: 521.0
Worker ID: 0 | Episode :5 | Average episode reward : 170.000 | Average episode length: 642.0
Worker ID: 0 | Episode :6 | Average episode reward : 580.000 | Average episode length: 823.0
Worker ID: 0 | Episode :7 | Average episode reward : 200.000 | Average episode length: 694.0
Worker ID: 0 | Episode :8 | Average episode reward : 230.000 | Average episode length: 708.0
Worker ID: 0 | Episode :9 | Average episode reward : 510.000 | Average episode length: 738.0
Worker ID: 0 | Episode :10 | Average episode reward : 240.000 | Average episode length: 528.0
Worker ID: 0 | Episode :11 | Average episode reward : 230.000 | Average episode length: 524.0
Worker ID: 0 | Episode :12 | Average episode reward : 170.000 | Average episode length: 512.0
Worker ID: 0 | Episode :13 | Average episode reward : 240.000 | Average episode length: 587.0
Worker ID: 0 | Episode :14 | Average episode reward : 170.000 | Average episode length: 445.0
Worker ID: 0 | Episode :15 | Average episode reward : 250.000 | Average episode length: 535.0
Worker ID: 0 | Episode :16 | Average episode reward : 170.000 | Average episode length: 499.0
Worker ID: 0 | Episode :17 | Average episode reward : 210.000 | Average episode length: 1029.0
Worker ID: 0 | Episode :18 | Average episode reward : 640.000 | Average episode length: 815.0
Worker ID: 0 | Episode :19 | Average episode reward : 170.000 | Average episode length: 501.0
Worker ID: 0 | Episode :20 | Average episode reward : 140.000 | Average episode length: 669.0
Worker ID: 0 | Episode :21 | Average episode reward : 250.000 | Average episode length: 507.0
Worker ID: 0 | Episode :22 | Average episode reward : 250.000 | Average episode length: 499.0
Worker ID: 0 | Episode :23 | Average episode reward : 320.000 | Average episode length: 668.0
Worker ID: 0 | Episode :24 | Average episode reward : 170.000 | Average episode length: 414.0
Worker ID: 0 | Episode :25 | Average episode reward : 90.000 | Average episode length: 613.0
Worker ID: 0 | Episode :26 | Average episode reward : 180.000 | Average episode length: 595.0
Worker ID: 0 | Episode :27 | Average episode reward : 170.000 | Average episode length: 499.0
Worker ID: 0 | Episode :28 | Average episode reward : 850.000 | Average episode length: 807.0
Worker ID: 0 | Episode :29 | Average episode reward : 220.000 | Average episode length: 518.0
Worker ID: 0 | Episode :30 | Average episode reward : 330.000 | Average episode length: 945.0
Worker ID: 0 | Episode :31 | Average episode reward : 170.000 | Average episode length: 651.0
Worker ID: 0 | Episode :32 | Average episode reward : 310.000 | Average episode length: 697.0
Worker ID: 0 | Episode :33 | Average episode reward : 170.000 | Average episode length: 508.0
Worker ID: 0 | Episode :34 | Average episode reward : 250.000 | Average episode length: 504.0
Worker ID: 0 | Episode :35 | Average episode reward : 230.000 | Average episode length: 419.0
Worker ID: 0 | Episode :36 | Average episode reward : 170.000 | Average episode length: 504.0
Worker ID: 0 | Episode :37 | Average episode reward : 250.000 | Average episode length: 508.0
Worker ID: 0 | Episode :38 | Average episode reward : 120.000 | Average episode length: 377.0
Worker ID: 0 | Episode :39 | Average episode reward : 170.000 | Average episode length: 643.0
Worker ID: 0 | Episode :40 | Average episode reward : 230.000 | Average episode length: 419.0
Worker ID: 0 | Episode :41 | Average episode reward : 170.000 | Average episode length: 710.0
Worker ID: 0 | Episode :42 | Average episode reward : 170.000 | Average episode length: 654.0
Worker ID: 0 | Episode :43 | Average episode reward : 250.000 | Average episode length: 505.0
Worker ID: 0 | Episode :44 | Average episode reward : 250.000 | Average episode length: 630.0
Worker ID: 0 | Episode :45 | Average episode reward : 170.000 | Average episode length: 640.0
Worker ID: 0 | Episode :46 | Average episode reward : 220.000 | Average episode length: 521.0
Worker ID: 0 | Episode :47 | Average episode reward : 170.000 | Average episode length: 512.0
Worker ID: 0 | Episode :48 | Average episode reward : 240.000 | Average episode length: 674.0
Worker ID: 0 | Episode :49 | Average episode reward : 230.000 | Average episode length: 563.0
Worker ID: 0 | Episode :50 | Average episode reward : 320.000 | Average episode length: 519.0
Worker ID: 0 | Episode :51 | Average episode reward : 320.000 | Average episode length: 756.0
Worker ID: 0 | Episode :52 | Average episode reward : 230.000 | Average episode length: 501.0
Worker ID: 0 | Episode :53 | Average episode reward : 250.000 | Average episode length: 631.0
Worker ID: 0 | Episode :54 | Average episode reward : 170.000 | Average episode length: 511.0
Worker ID: 0 | Episode :55 | Average episode reward : 320.000 | Average episode length: 521.0
Worker ID: 0 | Episode :56 | Average episode reward : 250.000 | Average episode length: 499.0
Worker ID: 0 | Episode :57 | Average episode reward : 340.000 | Average episode length: 605.0
Worker ID: 0 | Episode :58 | Average episode reward : 240.000 | Average episode length: 533.0
Worker ID: 0 | Episode :59 | Average episode reward : 250.000 | Average episode length: 513.0
Worker ID: 0 | Episode :60 | Average episode reward : 350.000 | Average episode length: 749.0
Worker ID: 0 | Episode :61 | Average episode reward : 140.000 | Average episode length: 596.0
Worker ID: 0 | Episode :62 | Average episode reward : 280.000 | Average episode length: 577.0
Worker ID: 0 | Episode :63 | Average episode reward : 230.000 | Average episode length: 528.0
Worker ID: 0 | Episode :64 | Average episode reward : 250.000 | Average episode length: 655.0
Worker ID: 0 | Episode :65 | Average episode reward : 250.000 | Average episode length: 676.0
Worker ID: 0 | Episode :66 | Average episode reward : 250.000 | Average episode length: 499.0
Worker ID: 0 | Episode :67 | Average episode reward : 250.000 | Average episode length: 642.0
Worker ID: 0 | Episode :68 | Average episode reward : 280.000 | Average episode length: 676.0
Worker ID: 0 | Episode :69 | Average episode reward : 230.000 | Average episode length: 513.0
Worker ID: 0 | Episode :70 | Average episode reward : 140.000 | Average episode length: 662.0
Worker ID: 0 | Episode :71 | Average episode reward : 200.000 | Average episode length: 564.0
Worker ID: 0 | Episode :72 | Average episode reward : 250.000 | Average episode length: 669.0
Worker ID: 0 | Episode :73 | Average episode reward : 230.000 | Average episode length: 392.0
Worker ID: 0 | Episode :74 | Average episode reward : 170.000 | Average episode length: 593.0
Worker ID: 0 | Episode :75 | Average episode reward : 230.000 | Average episode length: 443.0
Worker ID: 0 | Episode :76 | Average episode reward : 300.000 | Average episode length: 627.0
Worker ID: 0 | Episode :77 | Average episode reward : 250.000 | Average episode length: 490.0
Worker ID: 0 | Episode :78 | Average episode reward : 250.000 | Average episode length: 637.0
Worker ID: 0 | Episode :79 | Average episode reward : 120.000 | Average episode length: 676.0
Worker ID: 0 | Episode :80 | Average episode reward : 170.000 | Average episode length: 517.0
Worker ID: 0 | Episode :81 | Average episode reward : 280.000 | Average episode length: 872.0
Worker ID: 0 | Episode :82 | Average episode reward : 240.000 | Average episode length: 436.0
Worker ID: 0 | Episode :83 | Average episode reward : 230.000 | Average episode length: 457.0
Worker ID: 0 | Episode :84 | Average episode reward : 170.000 | Average episode length: 514.0
Worker ID: 0 | Episode :85 | Average episode reward : 210.000 | Average episode length: 488.0
Worker ID: 0 | Episode :86 | Average episode reward : 170.000 | Average episode length: 507.0
Worker ID: 0 | Episode :87 | Average episode reward : 250.000 | Average episode length: 624.0
Worker ID: 0 | Episode :88 | Average episode reward : 160.000 | Average episode length: 485.0
Worker ID: 0 | Episode :89 | Average episode reward : 250.000 | Average episode length: 507.0
Worker ID: 0 | Episode :90 | Average episode reward : 130.000 | Average episode length: 670.0
Worker ID: 0 | Episode :91 | Average episode reward : 450.000 | Average episode length: 780.0
Worker ID: 0 | Episode :92 | Average episode reward : 250.000 | Average episode length: 674.0
Worker ID: 0 | Episode :93 | Average episode reward : 170.000 | Average episode length: 509.0
Worker ID: 0 | Episode :94 | Average episode reward : 170.000 | Average episode length: 501.0
Worker ID: 0 | Episode :95 | Average episode reward : 170.000 | Average episode length: 415.0
Worker ID: 0 | Episode :96 | Average episode reward : 230.000 | Average episode length: 556.0
Worker ID: 0 | Episode :97 | Average episode reward : 170.000 | Average episode length: 502.0
Worker ID: 0 | Episode :98 | Average episode reward : 320.000 | Average episode length: 693.0
Worker ID: 0 | Episode :99 | Average episode reward : 250.000 | Average episode length: 497.0
Worker ID: 0 | Episode :100 | Average episode reward : 250.000 | Average episode length: 502.0
Worker ID: 0 | Episode :101 | Average episode reward : 230.000 | Average episode length: 422.0
Worker ID: 0 | Episode :102 | Average episode reward : 250.000 | Average episode length: 510.0
Worker ID: 0 | Episode :103 | Average episode reward : 170.000 | Average episode length: 609.0
Worker ID: 0 | Episode :104 | Average episode reward : 300.000 | Average episode length: 636.0
Worker ID: 0 | Episode :105 | Average episode reward : 170.000 | Average episode length: 498.0
Worker ID: 0 | Episode :106 | Average episode reward : 130.000 | Average episode length: 642.0
Worker ID: 0 | Episode :107 | Average episode reward : 140.000 | Average episode length: 510.0
Worker ID: 0 | Episode :108 | Average episode reward : 130.000 | Average episode length: 668.0
Worker ID: 0 | Episode :109 | Average episode reward : 270.000 | Average episode length: 555.0
Worker ID: 0 | Episode :110 | Average episode reward : 340.000 | Average episode length: 635.0
Worker ID: 0 | Episode :111 | Average episode reward : 170.000 | Average episode length: 587.0
Worker ID: 0 | Episode :112 | Average episode reward : 250.000 | Average episode length: 670.0
Worker ID: 0 | Episode :113 | Average episode reward : 260.000 | Average episode length: 568.0
Worker ID: 0 | Episode :114 | Average episode reward : 290.000 | Average episode length: 601.0
Worker ID: 0 | Episode :115 | Average episode reward : 110.000 | Average episode length: 411.0
Worker ID: 0 | Episode :116 | Average episode reward : 250.000 | Average episode length: 678.0
Worker ID: 0 | Episode :117 | Average episode reward : 250.000 | Average episode length: 664.0
Worker ID: 0 | Episode :118 | Average episode reward : 250.000 | Average episode length: 511.0
Worker ID: 0 | Episode :119 | Average episode reward : 240.000 | Average episode length: 401.0
Worker ID: 0 | Episode :120 | Average episode reward : 250.000 | Average episode length: 624.0
Worker ID: 0 | Episode :121 | Average episode reward : 230.000 | Average episode length: 414.0
Worker ID: 0 | Episode :122 | Average episode reward : 300.000 | Average episode length: 1006.0
Worker ID: 0 | Episode :123 | Average episode reward : 260.000 | Average episode length: 392.0
Worker ID: 0 | Episode :124 | Average episode reward : 230.000 | Average episode length: 448.0
Worker ID: 0 | Episode :125 | Average episode reward : 390.000 | Average episode length: 701.0
Worker ID: 0 | Episode :126 | Average episode reward : 470.000 | Average episode length: 809.0
Worker ID: 0 | Episode :127 | Average episode reward : 330.000 | Average episode length: 767.0
Worker ID: 0 | Episode :128 | Average episode reward : 240.000 | Average episode length: 432.0
Worker ID: 0 | Episode :129 | Average episode reward : 410.000 | Average episode length: 851.0
Worker ID: 0 | Episode :130 | Average episode reward : 210.000 | Average episode length: 642.0
Worker ID: 0 | Episode :131 | Average episode reward : 190.000 | Average episode length: 568.0
Worker ID: 0 | Episode :132 | Average episode reward : 100.000 | Average episode length: 596.0
Worker ID: 0 | Episode :133 | Average episode reward : 340.000 | Average episode length: 437.0
Worker ID: 0 | Episode :134 | Average episode reward : 160.000 | Average episode length: 643.0
Worker ID: 0 | Episode :135 | Average episode reward : 240.000 | Average episode length: 979.0
Worker ID: 0 | Episode :136 | Average episode reward : 310.000 | Average episode length: 541.0
Worker ID: 0 | Episode :137 | Average episode reward : 610.000 | Average episode length: 936.0
Worker ID: 0 | Episode :138 | Average episode reward : 150.000 | Average episode length: 652.0
Worker ID: 0 | Episode :139 | Average episode reward : 210.000 | Average episode length: 656.0
Worker ID: 0 | Episode :140 | Average episode reward : 300.000 | Average episode length: 681.0
Worker ID: 0 | Episode :141 | Average episode reward : 280.000 | Average episode length: 420.0
Worker ID: 0 | Episode :142 | Average episode reward : 230.000 | Average episode length: 617.0
Worker ID: 0 | Episode :143 | Average episode reward : 100.000 | Average episode length: 477.0
Worker ID: 0 | Episode :144 | Average episode reward : 370.000 | Average episode length: 907.0
Worker ID: 0 | Episode :145 | Average episode reward : 250.000 | Average episode length: 645.0
Worker ID: 0 | Episode :146 | Average episode reward : 890.000 | Average episode length: 854.0
Worker ID: 0 | Episode :147 | Average episode reward : 240.000 | Average episode length: 986.0
Worker ID: 0 | Episode :148 | Average episode reward : 930.000 | Average episode length: 763.0
Worker ID: 0 | Episode :149 | Average episode reward : 1750.000 | Average episode length: 863.0
Worker ID: 0 | Episode :150 | Average episode reward : 450.000 | Average episode length: 788.0
Worker ID: 0 | Episode :151 | Average episode reward : 490.000 | Average episode length: 844.0
Worker ID: 0 | Episode :152 | Average episode reward : 220.000 | Average episode length: 477.0
Worker ID: 0 | Episode :153 | Average episode reward : 160.000 | Average episode length: 720.0
Worker ID: 0 | Episode :154 | Average episode reward : 580.000 | Average episode length: 777.0
Worker ID: 0 | Episode :155 | Average episode reward : 140.000 | Average episode length: 603.0
Worker ID: 0 | Episode :156 | Average episode reward : 250.000 | Average episode length: 637.0
Worker ID: 0 | Episode :157 | Average episode reward : 230.000 | Average episode length: 703.0
Worker ID: 0 | Episode :158 | Average episode reward : 140.000 | Average episode length: 681.0
Worker ID: 0 | Episode :159 | Average episode reward : 170.000 | Average episode length: 445.0
Worker ID: 0 | Episode :160 | Average episode reward : 230.000 | Average episode length: 592.0
Worker ID: 0 | Episode :161 | Average episode reward : 250.000 | Average episode length: 671.0
Worker ID: 0 | Episode :162 | Average episode reward : 230.000 | Average episode length: 419.0
Worker ID: 0 | Episode :163 | Average episode reward : 140.000 | Average episode length: 530.0
Worker ID: 0 | Episode :164 | Average episode reward : 230.000 | Average episode length: 490.0
Worker ID: 0 | Episode :165 | Average episode reward : 110.000 | Average episode length: 397.0
Worker ID: 0 | Episode :166 | Average episode reward : 130.000 | Average episode length: 474.0
Worker ID: 0 | Episode :167 | Average episode reward : 270.000 | Average episode length: 534.0
Worker ID: 0 | Episode :168 | Average episode reward : 550.000 | Average episode length: 745.0
Worker ID: 0 | Episode :169 | Average episode reward : 240.000 | Average episode length: 598.0
Worker ID: 0 | Episode :170 | Average episode reward : 250.000 | Average episode length: 592.0
Worker ID: 0 | Episode :171 | Average episode reward : 990.000 | Average episode length: 808.0
Worker ID: 0 | Episode :172 | Average episode reward : 250.000 | Average episode length: 774.0
Worker ID: 0 | Episode :173 | Average episode reward : 480.000 | Average episode length: 931.0
Worker ID: 0 | Episode :174 | Average episode reward : 200.000 | Average episode length: 666.0
Worker ID: 0 | Episode :175 | Average episode reward : 350.000 | Average episode length: 690.0
Worker ID: 0 | Episode :176 | Average episode reward : 250.000 | Average episode length: 512.0
Worker ID: 0 | Episode :177 | Average episode reward : 240.000 | Average episode length: 769.0
Worker ID: 0 | Episode :178 | Average episode reward : 230.000 | Average episode length: 698.0
Worker ID: 0 | Episode :179 | Average episode reward : 100.000 | Average episode length: 365.0
Worker ID: 0 | Episode :180 | Average episode reward : 230.000 | Average episode length: 652.0
