compute005
0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
(1, 60, 50) 3
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Worker ID: 0 | Episode :0 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :1 | Average episode reward : 1.000 | Episode length: 2725.0
Worker ID: 0 | Episode :2 | Average episode reward : 1.000 | Episode length: 2728.0
Worker ID: 0 | Episode :3 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :4 | Average episode reward : 0.000 | Episode length: 2759.0
Worker ID: 0 | Episode :5 | Average episode reward : 0.000 | Episode length: 2739.0
Worker ID: 0 | Episode :6 | Average episode reward : 0.000 | Episode length: 2729.0
Worker ID: 0 | Episode :7 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :8 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :9 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :10 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :11 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :12 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :13 | Average episode reward : 0.000 | Episode length: 2745.0
Worker ID: 0 | Episode :14 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :15 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :16 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :17 | Average episode reward : 0.000 | Episode length: 2736.0
Worker ID: 0 | Episode :18 | Average episode reward : 0.000 | Episode length: 2746.0
Worker ID: 0 | Episode :19 | Average episode reward : 0.000 | Episode length: 2773.0
Worker ID: 0 | Episode :20 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :21 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :22 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :23 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :24 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :25 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :26 | Average episode reward : 0.000 | Episode length: 2748.0
Worker ID: 0 | Episode :27 | Average episode reward : 0.000 | Episode length: 2738.0
Worker ID: 0 | Episode :28 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :29 | Average episode reward : 0.000 | Episode length: 2736.0
Worker ID: 0 | Episode :30 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :31 | Average episode reward : 0.000 | Episode length: 2713.0
Worker ID: 0 | Episode :32 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :33 | Average episode reward : 0.000 | Episode length: 2736.0
Worker ID: 0 | Episode :34 | Average episode reward : 0.000 | Episode length: 2752.0
Worker ID: 0 | Episode :35 | Average episode reward : 0.000 | Episode length: 2739.0
Worker ID: 0 | Episode :36 | Average episode reward : 0.000 | Episode length: 2749.0
Worker ID: 0 | Episode :37 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :38 | Average episode reward : 0.000 | Episode length: 2705.0
Worker ID: 0 | Episode :39 | Average episode reward : 0.000 | Episode length: 2738.0
Worker ID: 0 | Episode :40 | Average episode reward : 0.000 | Episode length: 2750.0
Worker ID: 0 | Episode :41 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :42 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :43 | Average episode reward : 0.000 | Episode length: 2755.0
Worker ID: 0 | Episode :44 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :45 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :46 | Average episode reward : 0.000 | Episode length: 2729.0
Worker ID: 0 | Episode :47 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :48 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :49 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :50 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :51 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :52 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :53 | Average episode reward : 0.000 | Episode length: 2743.0
Worker ID: 0 | Episode :54 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :55 | Average episode reward : 0.000 | Episode length: 2722.0
Worker ID: 0 | Episode :56 | Average episode reward : 0.000 | Episode length: 2748.0
Worker ID: 0 | Episode :57 | Average episode reward : 0.000 | Episode length: 2728.0
Worker ID: 0 | Episode :58 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :59 | Average episode reward : 0.000 | Episode length: 2703.0
Worker ID: 0 | Episode :60 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :61 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :62 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :63 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :64 | Average episode reward : 0.000 | Episode length: 2713.0
Worker ID: 0 | Episode :65 | Average episode reward : 0.000 | Episode length: 2704.0
Worker ID: 0 | Episode :66 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :67 | Average episode reward : 0.000 | Episode length: 2699.0
Worker ID: 0 | Episode :68 | Average episode reward : 0.000 | Episode length: 2721.0
Worker ID: 0 | Episode :69 | Average episode reward : 0.000 | Episode length: 2737.0
Worker ID: 0 | Episode :70 | Average episode reward : 0.000 | Episode length: 2752.0
Worker ID: 0 | Episode :71 | Average episode reward : 0.000 | Episode length: 2730.0
