Wall time,Step,Value
1590115916.7536385,1,0.9103313088417053
1590116217.0266519,2,0.9069963097572327
1590116519.579007,3,1.010488510131836
1590116819.1273088,4,1.0193276405334473
1590117120.865769,5,1.0276778936386108
1590117419.964406,6,1.040385127067566
1590117717.5329218,7,1.0471988916397095
1590118018.4950283,8,1.057614803314209
1590118319.6097498,9,1.0680326223373413
1590118620.6279418,10,1.073911428451538
1590118921.5507116,11,1.0781620740890503
1590119222.6295948,12,1.0818425416946411
1590119526.3309803,13,1.0854120254516602
1590119830.125892,14,1.087907075881958
1590120130.849362,15,1.0892962217330933
1590120431.263247,16,1.0910462141036987
1590120731.316318,17,1.092604637145996
1590121030.5091105,18,1.0939669609069824
1590121329.5082972,19,1.0952237844467163
1590121630.704104,20,1.0971901416778564
1590121933.5150347,21,1.0992562770843506
1590122235.4367683,22,1.100898027420044
1590122536.8956766,23,1.1030240058898926
1590122839.7343712,24,1.1050039529800415
1590123210.546804,25,1.1062403917312622
1590123611.5985675,26,1.1078920364379883
1590124033.852158,27,1.1097925901412964
1590124436.4323142,28,1.112023115158081
1590124843.1157477,29,1.1138451099395752
1590125245.7336853,30,1.115424633026123
1590125653.4419992,31,1.11702299118042
1590126057.6127772,32,1.1185358762741089
1590126471.411771,33,1.1191655397415161
1590126882.7255778,34,1.1198519468307495
1590127299.2457244,35,1.1200177669525146
1590127703.8378797,36,1.120417833328247
1590128119.3579395,37,1.1206345558166504
1590128519.9251761,38,1.1206605434417725
1590128917.5518377,39,1.1206828355789185
